date,open_price_usd,total_volume_usd,market_cap_usd
2026-04-01,0.00000339,258383000.45,1427475794.38
2026-04-02,0.00000340,271696674.90,1430837873.68
2026-04-03,0.00000333,273329496.05,1402461459.57
2026-04-04,0.00000341,266601821.57,1436276045.60
2026-04-05,0.00000340,155954244.30,1429549178.38
2026-04-06,0.00000347,196494186.11,1457969633.44
2026-04-07,0.00000332,392621600.96,1398133873.69
2026-04-08,0.00000374,432667943.71,1572522352.99
2026-04-09,0.00000354,375514745.86,1487836510.01
2026-04-10,0.00000351,301970651.11,1476372343.02
2026-04-11,0.00000363,316874253.26,1527021896.99
2026-04-12,0.00000364,290342870.34,1531035676.07
2026-04-13,0.00000346,258882376.34,1456634626.19
2026-04-14,0.00000373,353769883.12,1569545915.74
2026-04-15,0.00000357,434398593.86,1503942338.37
2026-04-16,0.00000372,343104693.82,1564627497.07
2026-04-17,0.00000398,827027136.42,1672982338.01
2026-04-18,0.00000397,629162657.80,1669569789.88
2026-04-19,0.00000378,318166507.27,1592265489.09
2026-04-20,0.00000365,393871496.14,1534665589.24
2026-04-21,0.00000376,407061634.56,1580759291.93
2026-04-22,0.00000381,348310010.31,1604729155.20
2026-04-23,0.00000380,389022703.24,1596651986.33
2026-04-24,0.00000383,315916489.91,1612250774.44
2026-04-25,0.00000386,288816874.95,1624960414.41
2026-04-26,0.00000386,171875447.76,1621675657.92
2026-04-27,0.00000390,235311545.86,1643267659.93
2026-04-28,0.00000390,378988058.22,1638548433.30
2026-04-29,0.00000388,260476521.42,1631166988.49
2026-04-30,0.00000385,577272907.67,1621537667.01
2026-05-01,0.00000388,320992658.64,1629376672.15
2026-05-02,0.00000393,284453060.07,1655102530.24
2026-05-03,0.00000399,176423785.18,1679211030.51
2026-05-04,0.00000395,196005451.72,1659706040.29
2026-05-05,0.00000398,454721781.05,1676095961.48
2026-05-06,0.00000411,443324922.82,1730142397.94
2026-05-07,0.00000416,452994994.65,1746599479.72
2026-05-08,0.00000416,376495465.43,1752110445.10
2026-05-09,0.00000431,370676949.74,1811726485.29
2026-05-10,0.00000424,223830574.07,1785732533.77
2026-05-11,0.00000441,428312384.93,1857861501.34
2026-05-12,0.00000434,368079295.44,1827538114.09
2026-05-13,0.00000414,282832421.97,1742111654.87
2026-05-14,0.00000405,240777636.08,1705307057.67
2026-05-15,0.00000409,254359605.30,1719722319.91
2026-05-16,0.00000391,262040789.96,1643338573.99
2026-05-17,0.00000376,165103268.01,1582220518.93
2026-05-18,0.00000365,172642325.87,1526323220.56
2026-05-19,0.00000369,209897440.69,1553615854.13
2026-05-20,0.00000364,120740681.78,1532992836.78
2026-05-21,0.00000371,133791720.26,1560622311.08
2026-05-22,0.00000380,160688039.13,1598098058.87
2026-05-23,0.00000360,166644186.74,1513608446.81
2026-05-24,0.00000364,218534270.85,1530908636.38
2026-05-25,0.00000357,123164462.94,1503910958.19
2026-05-26,3.59e-06,134735853.06,1511178016.3
2026-05-27,3.51e-06,206084537.8,1478153108.58
2026-05-28,3.47e-06,218747379.51,1458557140.25
2026-05-29,3.37e-06,228137216.95,1418949611.63
2026-05-30,3.38e-06,152811102.79,1423466401.16
2026-05-31,3.4e-06,100170630.56,1431163291.0
2026-06-01,3.41e-06,118916870.95,1433573342.72
2026-06-02,3.41e-06,191353317.84,1435224041.83
2026-06-03,3.1e-06,251655466.43,1305157216.95
2026-06-04,3.12e-06,222815653.96,1313280314.29
2026-06-05,2.94e-06,301763941.48,1238159004.19
2026-06-06,2.68e-06,404988782.69,1128504683.54
2026-06-07,2.68e-06,251237282.05,1125213766.88
2026-06-08,2.81e-06,214894188.79,1182159168.96
2026-06-09,2.81e-06,172580785.86,1181345320.68
